No.,시설물 명칭,시설물 일련번호,공사명,공사 대상 부재(또는 시설물),설계 예상시작일(yyyymmdd),설계 예상종료일(yyyymmdd),공사 예상 시작일(yyyymmdd),공사 예상종료일(yyyymmdd),공사금액(백만원),"첨부자료(설계도면, 설계내역서, 공정표 등)",비고
1,7145 뚝섬유원지역,BA060000228,조류유입 방지시설 설치공사,"고가 기둥(P1, P8, P19)주변 개구부",,,20200102,20201231,47300000,,
2,2-091 신설동역,BA060000054,화장실 확충,화장실 및 장애인 화장실,,,20200102,20201231,556600000,,
3,2-094 신답역,BA060000055,화장실 확충,화장실 및 장애인 화장실,,,20200102,20201231,556600000,,
4,2-095 용답역,BA060000056,화장실 확충,화장실 및 장애인 화장실,,,20200102,20201231,556600000,,
5,3-015 무악재역,BA060000067,화장실 확충,화장실 및 장애인 화장실,,,20200102,20201231,556600000,,
6,3-059 대청역,BA060000088,화장실 확충,화장실 및 장애인 화장실,,,20200102,20201231,556600000,,
7,4-11 노원역,BA060000096,승강장 지붕 개량(채광판 등),승강장 지붕,,,20200102,20201231,1939000000,,
8,1-002 서울역,BA060000001,방향유도표지판 조명화 및 안내표지판 체계 개선,방향유도사인 및 각종 안내표지판,,,20200102,20241231,27690000,,
9,1-004 시청역,BA060000002,방향유도표지판 조명화 및 안내표지판 체계 개선,방향유도사인 및 각종 안내표지판,,,20200102,20241231,27690000,,
10,1-006 종각역,BA060000003,방향유도표지판 조명화 및 안내표지판 체계 개선,방향유도사인 및 각종 안내표지판,,,20200102,20241231,27590000,,
11,1-008 종로3가역,BA060000004,방향유도표지판 조명화 및 안내표지판 체계 개선,방향유도사인 및 각종 안내표지판,,,20200102,20241231,27590000,,
12,1-010 종로5가역,BA060000005,방향유도표지판 조명화 및 안내표지판 체계 개선,방향유도사인 및 각종 안내표지판,,,20200102,20241231,27590000,,
13,1-012 동대문역,BA060000006,방향유도표지판 조명화 및 안내표지판 체계 개선,방향유도사인 및 각종 안내표지판,,,20200102,20241231,27590000,,
14,1-014 신설동역,BA060000007,방향유도표지판 조명화 및 안내표지판 체계 개선,방향유도사인 및 각종 안내표지판,,,20200102,20241231,27590000,,
15,1-016 제기동역,BA060000008,방향유도표지판 조명화 및 안내표지판 체계 개선,방향유도사인 및 각종 안내표지판,,,20200102,20241231,27590000,,
16,1-018 청량리역,BA060000009,방향유도표지판 조명화 및 안내표지판 체계 개선,방향유도사인 및 각종 안내표지판,,,20200102,20241231,27590000,,
17,1-020 동묘앞역,BA060000010,방향유도표지판 조명화 및 안내표지판 체계 개선,방향유도사인 및 각종 안내표지판,,,20200102,20241231,27590000,,
18,2-001 시청역(2),BA060000011,방향유도표지판 조명화 및 안내표지판 체계 개선,방향유도사인 및 각종 안내표지판,,,20200102,20241231,27590000,,
19,2-003 을지로입구역,BA060000012,방향유도표지판 조명화 및 안내표지판 체계 개선,방향유도사인 및 각종 안내표지판,,,20200102,20241231,27590000,,
20,2-005 을지로3가역,BA060000013,방향유도표지판 조명화 및 안내표지판 체계 개선,방향유도사인 및 각종 안내표지판,,,20200102,20241231,27590000,,
21,2-007 을지로4가역,BA060000014,방향유도표지판 조명화 및 안내표지판 체계 개선,방향유도사인 및 각종 안내표지판,,,20200102,20241231,27590000,,
22,2-009 동대문역사문화공원역,BA060000015,방향유도표지판 조명화 및 안내표지판 체계 개선,방향유도사인 및 각종 안내표지판,,,20200102,20241231,27590000,,
23,2-011 신당역,BA060000016,방향유도표지판 조명화 및 안내표지판 체계 개선,방향유도사인 및 각종 안내표지판,,,20200102,20241231,27590000,,
24,2-013 상왕십리역,BA060000017,방향유도표지판 조명화 및 안내표지판 체계 개선,방향유도사인 및 각종 안내표지판,,,20200102,20241231,27590000,,
